"Round","Books","Dealer","Mom_Bet","Mom_Won","Mom_Score","Andrew_Bet","Andrew_Won","Andrew_Score","Devon_Bet","Devon_Won","Devon_Score","Craig_Bet","Craig_Won","Craig_Score","Heidi_Bet","Heidi_Won","Heidi_Score"
1,10,"Heidi",1,2,-1,2,0,-2,3,3,4,4,4,5,1,1,2
2,9,"Mom",3,2,-1,3,3,4,2,2,3,0,0,1,3,2,-1
3,8,"Andrew",3,3,4,4,2,-2,0,0,1,2,2,3,1,1,2
4,7,"Devon",0,0,1,3,1,-2,3,3,4,1,1,2,2,2,3
5,6,"Craig",1,0,-1,4,4,5,1,1,2,1,1,2,1,0,-1
6,5,"Heidi",1,0,-1,2,3,-1,1,0,-1,2,2,3,0,0,1
7,4,"Mom",1,3,-2,0,0,1,1,1,2,0,0,1,1,0,-1
8,3,"Andrew",0,0,1,1,1,2,1,0,-1,1,0,-1,1,2,-1
9,2,"Devon",0,0,1,1,2,-1,0,0,1,2,0,-2,0,0,1
10,1,"Craig",0,0,1,0,0,1,0,0,1,0,0,1,0,1,-1
11,1,"Heidi",0,0,1,0,0,1,0,0,1,1,1,2,1,0,-1
12,2,"Mom",1,0,-1,0,0,1,0,0,1,2,2,3,0,0,1
13,3,"Andrew",0,0,1,0,0,1,2,1,-1,2,2,3,0,0,1
14,4,"Devon",0,0,1,0,0,1,0,0,1,2,1,-1,1,3,-2
15,5,"Craig",4,2,-2,0,0,1,1,0,-1,0,0,1,2,3,-1
16,6,"Heidi",2,2,3,3,4,-1,0,0,1,0,0,1,0,0,1
17,7,"Mom",1,0,-1,3,4,-1,2,2,3,1,1,2,1,0,-1
18,8,"Andrew",0,0,1,2,2,3,3,3,4,0,0,1,2,3,-1
19,9,"Devon",0,0,1,3,2,-1,3,3,4,1,2,-1,3,2,-1
20,10,"Craig",1,2,-1,3,2,-1,4,4,5,2,2,3,1,0,-1
